F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1
F,0,0,0,2,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,C,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,C,C,D,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,B,D,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,E,F,0,0,0,E,1,1,E,1
F,1,1,F,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,E,F,0,0,0,E,1,1,E,1
F,1,1,F,0,0,H,I,I,I,J,0,0,B,C,C,D,0,0,0,E,F,0,0,0,H,I,I,E,1
F,1,1,F,0,0,0,0,0,0,0,0,0,E,1,1,F,0,0,0,E,F,0,0,0,0,0,2,E,1
F,1,1,F,0,0,0,0,0,0,0,0,0,E,1,1,F,0,0,0,E,F,0,0,0,0,0,0,E,1
1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
