F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,3,5,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
F,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,B,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E
F,0,0,0,0,0,0,B,C,C,C,D,0,0,0,0,0,0,0,0,0,B,D,0,0,0,0,0,E,E
F,0,0,0,0,0,0,E,1,1,1,F,0,0,0,0,0,0,0,0,0,E,F,0,0,0,0,3,4,E
F,0,0,0,0,0,0,H,I,I,I,J,0,0,0,0,0,0,0,0,0,E,F,0,0,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,C,D,0,0,0,0,E
F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B,C,C,C,D,0,E,1,1,F,0,0,0,0,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,1,1,1,F,0,E,1,1,F,0,0,B,C,E
F,0,0,0,0,0,0,0,0,0,0,0,0,0,B,E,1,1,1,F,0,E,1,1,1,D,0,E,1,E
F,0,0,0,0,0,B,C,D,0,0,2,0,0,E,E,1,1,1,F,0,H,I,I,I,J,0,E,1,E
F,0,0,0,0,0,E,1,F,C,C,C,C,C,C,1,1,1,1,F,0,0,0,0,0,0,0,E,1,E
1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
